,Name,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Value_mill(€),Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength
1320,M. Toure,1,0,0.5,64.0,0.325,0.6679999999999999,0,0,2
1233,T. O'Connor,1,1,3.0,64.5,0.575,0.7150000000000001,0,0,4
2236,17 S. Squillaci,2,2,15.0,74.0,0.575,0.775,0,0,6
1629,S. Armstrong,1,1,34.0,73.0,2.5,2.775,0,0,7
2789,A. Gaich,1,0,5.0,69.5,1.6,1.6333333333333335,0,0,6
123,G. Bazunu,1,3,16.0,77.5,6.0,2.775,0,0,6
2634,S. Montiel,1,0,10.0,76.0,4.9,3.3666666666666667,0,0,4
1796,D. Callender,1,0,4.0,72.5,1.9,7.71875,0,0,7
3102,E. Andersson,1,1,4.0,67.0,0.975,0.9821428571428571,0,0,4
2710,M. Bogusz,1,1,4.0,74.0,3.2,5.517857142857143,0,0,4
4326,J. Woods,1,0,2.0,58.0,0.21,0.263,0,0,5
765,E. Cavani,4,2,17.0,77.0,3.6,5.307142857142857,1,0,2
1409,F. Díaz,1,3,0.55,77.5,5.0,21.95926829268293,0,0,5
4580,23 J. Ideho,1,0,5.0,67.5,0.75,26.811666666666667,0,0,6
2428,L. Di Stefano,1,0,1.0,71.0,1.4,1.7,0,0,3
1745,T. Breithaupt,1,1,10.0,74.0,3.4,5.495588235294117,0,0,6
3336,J. Zoet,2,0,2.0,71.0,0.925,1.625,0,0,5
4793,Ricard,1,1,13.0,76.0,4.5,4.322222222222222,0,0,5
4768,22 S. Nakano,1,1,0.5,69.0,0.875,0.5575,0,0,6
1873,Fer Niño,1,0,5.0,73.5,3.3,1.8,0,0,4
2614,Y. Suzuki,1,0,3.0,68.5,1.3,2.215625,0,0,5
2138,J. Pickford,3,3,45.0,82.5,23.5,7.470535714285715,0,0,11
798,R. Pukštas,1,2,0.5,76.0,3.2,5.2,0,0,8
4994,L. Schleimer,1,1,4.0,69.5,1.5,1.7166666666666666,0,0,8
626,W. Ndidi,2,2,48.0,79.5,18.5,4.782291666666667,0,0,8
4599,J. Hettwer,1,3,1.0,72.0,2.2,0.9343750000000001,0,0,5
1616,V. Aboubakar,2,6,34.0,79.0,15.0,3.7982142857142853,0,0,3
1782,Pablo Felipe,1,0,2.0,74.5,2.9,4.214285714285714,0,0,9
2206,23 D. Godín,3,2,10.0,76.0,1.3,2.8899999999999997,0,0,2
1890,D. Caicedo,1,3,3.0,73.5,2.9,1.9785714285714284,0,0,4
790,M. Delorge,1,0,4.0,76.5,3.9,2.397727272727273,0,0,4
7,Vinicius Souza,1,3,25.0,78.5,10.5,3.230882352941176,0,0,5
2414,C. Nouck,1,0,2.0,70.0,1.0,1.157142857142857,0,0,5
4900,A. Ali,1,1,0.55,65.0,0.525,0.365,0,0,5
2276,L. De Fougerolles,1,0,0.5,68.0,0.525,6.167105263157895,0,0,3
2960,L. Caicedo,1,0,2.0,66.0,0.8,0.9500000000000001,0,0,2
4554,B. Allgeier,1,0,0.55,69.0,1.5,0.6246153846153846,0,0,3
417,Morata,3,2,88.0,84.0,41.5,20.312037037037037,1,0,7
742,M. Almirón,2,4,115.0,79.0,17.0,16.398076923076925,0,0,8
2127,J. Lundstram,1,3,44.0,75.0,4.8,4.0673076923076925,0,0,4
3593,Chen Rong,1,0,1.0,55.0,0.13,0.08166666666666667,0,0,6
1909,T. Teuma,1,4,31.0,79.0,17.0,7.685714285714285,0,0,5
824,Rodrigo Becão,1,3,33.0,79.0,15.0,10.398863636363636,0,0,6
4613,A. Rodríguez,1,0,0.65,73.5,2.8,2.3857142857142857,0,0,5
116,Diogo Costa,2,1,14.0,86.0,46.5,12.614285714285714,0,0,11
1481,Tomás Esteves,1,1,2.0,73.0,2.6,2.2,0,0,4
1904,Catena,1,4,32.0,79.5,16.5,11.091666666666667,0,0,6
3216,K. Hemmings,1,2,2.0,61.0,0.275,0.538,0,0,2
4925,C. Winther,1,0,2.0,69.0,1.2,1.4,0,0,9
4549,V. Karlsson,1,0,0.65,65.5,0.725,0.5375,0,0,7
3799,E. Saad,1,2,10.0,73.0,2.5,1.7333333333333334,0,0,6
1024,N. Kreuzer,1,4,1.0,67.0,0.875,0.9583333333333334,0,0,6
592,O. Popescu,1,4,7.0,75.5,3.4,2.3291666666666666,0,0,5
4500,O. Larraz,1,0,0.85,59.5,0.23,1.4583333333333333,0,0,4
4673,V. Jemelka,1,2,0.8,72.0,2.0,3.183333333333333,0,0,4
2022,P. Roberts,1,3,22.0,71.0,2.0,3.171111111111111,0,0,5
