,Name,Age,Growth,Weak foot,Skill moves,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Total_movement,Total_power,Total_defending,Avg_stats,Value_mill(€),TotalAttSkiMent,Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength,ContRemaining,AttDef
2548,S. Lynen,24,4,3,2,1,0,17.0,76.0,59.8,73.0,69.33333333333333,67.66666666666667,5.5,66.23333333333333,4.552272727272728,0,0,5,4,1.5
4796,S. Stehle,21,6,3,3,1,2,2.0,66.0,78.4,63.4,33.0,59.833333333333336,0.775,50.17777777777778,0.7833333333333333,0,0,3,2,0.5
1858,O. Bundgaard,22,11,2,2,1,2,3.0,72.5,75.2,60.0,61.0,63.0,2.2,55.53333333333333,1.6,0,0,5,3,1.5
258,Vanderson,22,7,3,3,2,2,37.0,80.5,76.6,68.4,73.0,72.33333333333333,20.5,70.02222222222223,13.135,0,0,7,5,1.5
3835,M. Uppenberg,21,12,3,1,1,1,0.5,60.0,41.2,38.0,13.333333333333334,50.5,0.23,18.8,0.844375,0,0,4,3,1.0
769,J. Aude,20,14,4,3,1,0,2.0,74.0,72.0,59.4,62.0,63.166666666666664,2.3,56.51111111111111,4.166666666666667,0,0,5,4,1.0
2061,K. Redondo,28,0,3,3,1,2,7.0,68.0,81.2,62.0,47.0,64.5,1.2,56.666666666666664,1.452,0,0,5,1,1.0
4253,T. Allende,24,3,4,3,1,3,14.0,73.5,69.0,80.2,33.666666666666664,66.16666666666667,3.2,62.388888888888886,6.904411764705882,0,0,5,5,1.5
2018,Pedro Díaz,25,5,4,3,1,7,6.0,73.5,70.8,73.8,68.0,70.0,2.7,68.71111111111111,1.45625,0,0,5,4,2.0
3940,Bernardo Folha,21,8,3,2,1,0,2.0,68.0,63.8,58.2,56.0,60.333333333333336,1.3,60.144444444444446,12.614285714285714,0,0,5,1,1.0
4596,P. Liza,23,7,3,3,1,0,0.5,69.5,70.8,68.0,30.0,62.166666666666664,1.7,61.65555555555556,2.9,0,0,1,0,0.5
3344,Kim Seung Gyu,32,0,2,1,1,2,20.0,73.0,48.0,42.8,15.0,65.5,1.5,23.688888888888886,10.575000000000001,0,0,4,2,1.0
114,O. Kossounou,22,6,3,2,1,2,49.0,84.0,70.0,63.0,82.66666666666667,67.16666666666667,37.5,56.05555555555555,28.45921052631579,0,0,6,3,1.0
1816,A. Seidu,23,7,3,2,1,3,26.0,76.5,65.2,53.8,75.0,60.666666666666664,5.5,57.27777777777778,8.405555555555557,0,0,5,5,1.0
1594,A. Lallana,35,0,5,4,2,4,49.0,76.0,66.4,64.4,62.0,67.33333333333333,3.1,73.39999999999999,7.848958333333333,0,0,5,1,1.5
957,Alarcón,19,14,4,4,1,0,22.0,74.0,65.8,62.0,15.333333333333334,55.833333333333336,2.4,58.144444444444446,30.885714285714283,0,0,5,2,1.0
2973,K. Machida,25,4,3,2,1,1,12.0,75.0,63.2,70.8,70.0,63.833333333333336,3.8,50.41111111111112,3.163888888888889,0,0,4,3,1.0
2289,Marvel,20,14,3,2,1,0,15.0,70.0,61.0,54.4,61.0,54.5,1.1,45.31111111111111,37.88035714285714,0,0,4,2,0.5
4351,Pablo Ibáñez,24,4,3,2,1,0,11.0,71.0,62.6,57.6,64.66666666666667,61.0,2.0,59.42222222222222,11.091666666666667,0,0,4,2,1.5
3818,Jorge Teixeira,24,5,3,2,1,1,3.0,71.5,59.8,73.4,18.666666666666668,58.833333333333336,2.1,55.699999999999996,0.8233333333333333,0,0,5,5,1.5
56,J. Branthwaite,21,9,5,2,1,0,28.0,82.5,64.0,62.8,79.0,62.666666666666664,29.5,51.44444444444445,7.470535714285715,0,0,6,2,1.5
3300,L. Kurzawa,30,0,3,3,2,2,41.0,72.0,66.2,63.6,71.33333333333333,67.83333333333333,2.0,67.34444444444443,36.855357142857144,0,0,10,1,1.0
1435,M. Ruggeri,20,9,3,3,1,0,24.0,78.5,63.8,65.0,71.0,65.83333333333333,9.0,62.72222222222222,16.893055555555556,0,0,7,3,1.5
4648,S. Drljača,24,5,3,1,1,0,2.0,68.5,39.6,43.8,11.666666666666666,58.5,1.0,16.622222222222224,1.0100000000000002,0,0,3,1,1.0
1057,22 Fernandinho,36,0,4,3,3,2,86.0,81.0,69.0,75.6,81.66666666666667,72.5,5.0,73.23333333333333,42.38637931034482,0,0,10,-1,1.5
4258,A. Oroz,20,7,3,3,1,1,3.0,69.5,72.4,64.4,22.666666666666668,59.166666666666664,1.7,58.17777777777778,2.4916666666666667,0,0,9,2,1.0
60,Gonçalo Inácio,21,7,2,2,1,5,12.0,83.5,72.8,67.2,81.0,68.66666666666667,40.0,59.6,18.677272727272726,0,0,9,4,1.5
35,R. Bardghji,17,15,4,4,1,4,3.0,77.5,78.4,59.2,30.333333333333332,60.5,3.6,59.78888888888889,2.567857142857143,0,0,5,2,1.0
3494,Y. Zague,17,18,3,2,1,0,0.5,71.0,70.6,54.4,59.333333333333336,59.666666666666664,0.95,54.855555555555554,36.855357142857144,0,0,5,4,1.5
4654,H. Roberts,21,8,3,2,1,0,7.0,70.0,69.2,62.0,63.0,62.833333333333336,1.8,57.78888888888889,1.3587500000000001,0,0,4,3,1.0
3782,Kialonda Gaspar,25,2,2,2,1,1,6.0,72.0,54.8,61.2,72.66666666666667,56.5,2.1,45.26666666666667,1.34375,0,0,3,1,1.0
